               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08352,            0.029964,            0.052192,            0.002351,             0.63148,            0.012499,           0.0038833,            0.049626,            0.013994,            0.033114,              0.0829,              0.0019,              0.0019
                   1,             0.06662,            0.028769,            0.048984,           0.0033924,             0.89787,            0.087438,            0.043918,            0.039077,              0.0102,            0.027724,            0.064887,           0.0038872,           0.0038872
                   2,             0.06329,            0.026094,            0.050635,             0.20244,              0.3142,             0.18195,            0.053004,            0.038305,           0.0094235,            0.022809,            0.046861,           0.0058612,           0.0058612
                   3,            0.053369,            0.023043,            0.038546,             0.24568,             0.21374,             0.18015,            0.098614,            0.038685,           0.0069857,            0.020998,            0.028822,            0.007822,            0.007822
                   4,            0.055235,             0.02122,            0.040413,             0.32712,             0.19096,              0.1583,            0.073106,            0.036956,           0.0067921,            0.018746,             0.01077,           0.0097698,           0.0097698
                   5,            0.047717,            0.019499,            0.037966,             0.59632,             0.23845,             0.16622,            0.079319,            0.037443,            0.010799,             0.01824,           0.0098355,           0.0098355,           0.0098355
                   6,            0.049947,            0.021734,            0.036889,             0.45049,             0.14566,             0.15469,            0.060823,            0.033548,           0.0071469,            0.018503,           0.0098355,           0.0098355,           0.0098355
                   7,            0.043732,             0.01922,            0.040046,             0.32521,             0.24796,             0.19581,            0.080469,            0.032943,           0.0061321,            0.018918,           0.0098027,           0.0098027,           0.0098027
                   8,            0.043352,            0.019838,            0.033054,             0.32658,             0.21354,             0.20206,            0.078749,            0.032206,           0.0069151,            0.016464,           0.0097698,           0.0097698,           0.0097698
                   9,            0.053455,            0.021322,            0.037197,              0.4326,             0.16691,             0.20869,            0.097281,            0.029653,           0.0067649,            0.017766,           0.0097369,           0.0097369,           0.0097369
                  10,            0.043333,            0.020844,            0.034302,             0.21676,             0.18268,             0.15545,            0.068287,            0.033669,           0.0072555,            0.018867,            0.009704,            0.009704,            0.009704
                  11,            0.045757,            0.019195,            0.033334,             0.43411,             0.14716,             0.22687,             0.12268,            0.034118,           0.0066211,            0.017546,           0.0096711,           0.0096711,           0.0096711
                  12,            0.039421,            0.020157,            0.031673,             0.40141,             0.19488,             0.22094,             0.10261,            0.035461,           0.0061341,            0.018388,           0.0096382,           0.0096382,           0.0096382
                  13,            0.046355,            0.018982,            0.028578,             0.36882,             0.22813,             0.24772,            0.084105,            0.034951,           0.0061708,            0.016781,           0.0096053,           0.0096053,           0.0096053
                  14,            0.045367,            0.020844,            0.027816,             0.30225,             0.24636,             0.34889,             0.18066,            0.032933,           0.0062876,            0.015787,           0.0095724,           0.0095724,           0.0095724
                  15,            0.043867,            0.019545,            0.027716,             0.29764,             0.39745,             0.36735,             0.16464,             0.03044,           0.0059244,            0.013959,           0.0095395,           0.0095395,           0.0095395
                  16,            0.042052,            0.018206,            0.028756,             0.27403,             0.27221,             0.22542,             0.07021,            0.030737,           0.0057497,            0.015182,           0.0095066,           0.0095066,           0.0095066
                  17,            0.038971,            0.018749,             0.02506,             0.21974,             0.34764,             0.29223,             0.14972,            0.031813,           0.0060526,            0.015083,           0.0094738,           0.0094738,           0.0094738
                  18,            0.036614,            0.017949,            0.034577,             0.36988,             0.23369,               0.273,            0.086289,            0.030793,            0.006125,             0.01517,           0.0094409,           0.0094409,           0.0094409
                  19,             0.03925,            0.019047,            0.028029,             0.22881,             0.35416,             0.33528,             0.15962,            0.030492,           0.0065656,            0.014062,            0.009408,            0.009408,            0.009408
                  20,            0.036531,            0.018609,            0.033917,             0.30337,             0.30014,             0.33035,             0.12531,            0.031141,           0.0063821,             0.01524,           0.0093751,           0.0093751,           0.0093751
                  21,            0.035263,            0.018418,            0.025469,             0.29949,             0.37561,             0.33758,             0.15684,            0.027703,           0.0059457,            0.015083,           0.0093422,           0.0093422,           0.0093422
                  22,            0.033555,            0.018877,            0.026581,             0.33626,             0.36709,             0.42176,             0.19464,            0.029805,           0.0051876,            0.013779,           0.0093093,           0.0093093,           0.0093093
                  23,            0.037673,            0.018459,            0.022062,             0.31444,             0.52218,             0.42584,             0.19795,            0.028581,           0.0055529,            0.012897,           0.0092764,           0.0092764,           0.0092764
                  24,            0.042651,            0.017713,            0.019963,             0.44376,             0.58398,             0.50756,             0.27572,            0.025688,           0.0053394,            0.011826,           0.0092435,           0.0092435,           0.0092435
                  25,            0.043351,             0.01953,             0.02154,             0.38118,             0.57254,             0.49864,             0.24335,            0.031627,           0.0053532,           0.0093408,           0.0092106,           0.0092106,           0.0092106
                  26,            0.034949,            0.017177,            0.026444,             0.46719,             0.54841,             0.49698,             0.19293,            0.033514,           0.0055629,           0.0097238,           0.0091777,           0.0091777,           0.0091777
                  27,            0.044589,            0.017862,            0.026018,             0.46186,             0.59499,             0.51767,             0.27252,            0.032699,           0.0054007,            0.009264,           0.0091449,           0.0091449,           0.0091449
                  28,             0.04182,            0.018158,             0.01918,             0.37824,             0.53735,             0.49895,             0.26533,            0.030156,           0.0057672,            0.010937,            0.009112,            0.009112,            0.009112
                  29,            0.039598,            0.017073,            0.022269,             0.50817,             0.67432,             0.56076,             0.32361,            0.026343,           0.0053049,            0.010645,           0.0090791,           0.0090791,           0.0090791
                  30,             0.03461,            0.018078,            0.020298,             0.37013,             0.48431,             0.50352,             0.24201,            0.027282,           0.0054579,            0.014624,           0.0090462,           0.0090462,           0.0090462
                  31,            0.040806,            0.019278,            0.018669,             0.40189,             0.47693,             0.49282,             0.21835,            0.027018,            0.005627,            0.011397,           0.0090133,           0.0090133,           0.0090133
                  32,            0.039777,            0.017815,             0.02194,             0.38331,             0.44067,             0.30459,             0.15229,            0.028018,            0.006006,             0.02221,           0.0089804,           0.0089804,           0.0089804
                  33,            0.037489,            0.017818,            0.016974,              0.3526,             0.61516,             0.44477,             0.20946,            0.027406,           0.0054658,            0.015689,           0.0089475,           0.0089475,           0.0089475
                  34,             0.03687,            0.017954,            0.021191,             0.41897,             0.59557,             0.51385,             0.27619,            0.026091,           0.0052756,            0.011825,           0.0089146,           0.0089146,           0.0089146
                  35,            0.033957,            0.017295,            0.018647,             0.43265,             0.48227,             0.55825,             0.28556,            0.027839,           0.0059302,            0.010599,           0.0088817,           0.0088817,           0.0088817
                  36,            0.034775,            0.017633,            0.017063,             0.42454,             0.58828,             0.56678,             0.28153,            0.028892,            0.005701,           0.0094394,           0.0088488,           0.0088488,           0.0088488
                  37,            0.030468,            0.017545,            0.021837,             0.51197,             0.58601,             0.64311,             0.32352,            0.025541,           0.0051518,           0.0074772,           0.0088159,           0.0088159,           0.0088159
                  38,            0.033553,            0.017759,             0.01927,             0.37522,             0.60178,             0.49921,             0.26927,            0.024192,           0.0053363,            0.010944,           0.0087831,           0.0087831,           0.0087831
                  39,            0.033236,            0.016353,            0.019142,             0.44988,             0.64828,             0.56704,             0.27596,            0.026242,           0.0052411,            0.010134,           0.0087502,           0.0087502,           0.0087502
                  40,            0.035696,            0.016409,            0.019842,             0.53915,             0.65266,             0.67631,             0.38119,             0.02441,           0.0049002,           0.0070388,           0.0087173,           0.0087173,           0.0087173
                  41,            0.040719,            0.016753,            0.015272,             0.51952,             0.70698,             0.66208,             0.33199,            0.025847,           0.0047707,           0.0077759,           0.0086844,           0.0086844,           0.0086844
                  42,            0.032966,            0.017272,            0.017279,             0.49874,             0.65555,             0.62208,              0.3121,            0.024983,           0.0050502,            0.010313,           0.0086515,           0.0086515,           0.0086515
                  43,            0.037584,              0.0177,              0.0188,              0.4876,             0.71373,             0.67159,             0.34978,            0.022574,           0.0054791,           0.0068134,           0.0086186,           0.0086186,           0.0086186
                  44,            0.033903,            0.017075,            0.013493,              0.6088,             0.69797,             0.65181,             0.36994,            0.023261,           0.0052447,           0.0068961,           0.0085857,           0.0085857,           0.0085857
                  45,            0.032666,            0.017719,            0.015219,             0.61262,             0.72367,             0.69389,             0.38609,            0.024655,           0.0052167,           0.0069981,           0.0085528,           0.0085528,           0.0085528
                  46,            0.029788,            0.016903,            0.012675,             0.63363,             0.64758,              0.7042,             0.39486,            0.025686,           0.0053202,           0.0059912,           0.0085199,           0.0085199,           0.0085199
